type,document_id,invention_title,ipc_main,gold_mno,candidate_mno,anchor_p,weakest_model_p,lift_to_gold,same_lno
missing_label(누락 후보),kr20040096166a,,,LC08,LA06,0.955,0.825,1.3,0
missing_label(누락 후보),kr20047019984b1,,,ED10,NB05,0.959,0.881,1.28,0
missing_label(누락 후보),kr20100101730b1,,,ED07,NB05,0.98,0.829,1.22,0
missing_label(누락 후보),kr20060101417a,,,ED07,NB05,0.944,0.855,1.22,0
missing_label(누락 후보),jp2002305627a,,,LB14,EH02,0.989,0.895,1.19,0
missing_label(누락 후보),kr20147003254b1,,,EC03 NC01 NC05 NC08,ED09,0.953,0.571,1.15,0
missing_label(누락 후보),kr20210147260a,,,EH08 EH13,EA14,0.962,0.866,1.06,0
missing_label(누락 후보),kr20210061849a,,,ED10,ED08,0.994,0.939,1.03,1
missing_label(누락 후보),kr20100074546a,,,EA02,EA05,0.96,0.926,1.01,1
missing_label(누락 후보),kr20057007811b1,,,EB08,EB01,0.932,0.715,1.0,1
missing_label(누락 후보),kr20210042564b1,,,EH08,EH02,0.981,0.707,1.0,1
missing_label(누락 후보),kr20080116934a,,,EA14,EE05,0.97,0.815,0.92,0
missing_label(누락 후보),kr20170086312a,,,EI07,EA13,0.983,0.623,0.9,0
missing_label(누락 후보),kr20200140319b1,,,NC09,EC04,0.985,0.835,0.85,0
missing_label(누락 후보),kr20150134272b1,,,EC06,EB03,0.999,0.919,0.82,0
missing_label(누락 후보),kr20150157688b1,,,ND01,ND11,0.935,0.778,0.79,1
missing_label(누락 후보),kr20190075498b1,,,EE13 ND04 ND06,LB10,0.991,0.703,0.77,0
missing_label(누락 후보),kr20180092044b1,,,EG07,NC06,0.915,0.751,0.76,0
missing_label(누락 후보),kr20120111240b1,,,LB01,LB08,0.996,0.936,0.76,1
missing_label(누락 후보),kr20200179785b1,,,EI03,EE13,0.988,0.808,0.75,0
missing_label(누락 후보),kr20120139949b1,,,EI01,EA11,0.946,0.561,0.69,0
missing_label(누락 후보),kr20000059348a,,,EI04,EI06,0.957,0.865,0.69,1
missing_label(누락 후보),kr20180137869a,,,EI04,EI02,0.977,0.878,0.69,1
missing_label(누락 후보),kr20160029014b1,,,LA03,LB07,0.941,0.544,0.69,0
missing_label(누락 후보),kr20180093573b1,,,EI01,EH09,0.947,0.77,0.65,0
missing_label(누락 후보),kr20190021887a,,,LB15,LB20,0.985,0.917,0.64,1
missing_label(누락 후보),kr20100092775a,,,LB04,EH04,0.962,0.579,0.61,0
missing_label(누락 후보),kr20090103626b1,,,ED07,ND02,0.994,0.93,0.59,0
missing_label(누락 후보),kr20040067351b1,,,EI01,EA13,0.958,0.698,0.56,0
missing_label(누락 후보),kr20170036935b1,,,EI04,EB03,0.997,0.908,0.54,0
missing_label(누락 후보),kr20170017507b1,,,EH15,NB09,0.984,0.832,0.52,0
missing_label(누락 후보),kr20010042132b1,,,LC02,LC13,0.98,0.905,0.52,1
missing_label(누락 후보),kr20160074560b1,,,EC01,EF02,0.939,0.528,0.49,0
missing_label(누락 후보),kr20060021651y1,,,ND14,LB10,0.996,0.957,0.49,0
missing_label(누락 후보),kr20210168644b1,,,EE14,LC05,0.992,0.911,0.48,0
missing_label(누락 후보),kr20070045913b1,,,NC05,NC02,0.903,0.8,0.47,1
missing_label(누락 후보),kr20100071548a,,,ND01,LA09,0.984,0.931,0.47,0
missing_label(누락 후보),kr20190130971b1,,,EH02,LB08,0.901,0.548,0.46,0
missing_label(누락 후보),kr20110001907b1,,,LB01,NC04,0.959,0.789,0.46,0
missing_label(누락 후보),kr20060010221b1,,,EE06,EE09,0.989,0.925,0.45,1
missing_label(누락 후보),kr20070046994b1,,,EE09,EE06,0.96,0.664,0.45,1
missing_label(누락 후보),kr20090083610a,,,ED06,OB01,0.979,0.622,0.44,0
missing_label(누락 후보),kr20170144461b1,,,LB01,EC04,0.983,0.69,0.42,0
missing_label(누락 후보),kr20170073248a,,,NC06,LC06,0.962,0.525,0.42,0
missing_label(누락 후보),kr20100103313a,,,NB02,LC06,0.993,0.956,0.41,0
missing_label(누락 후보),kr20180004999b1,,,EA07,LB13,0.967,0.603,0.4,0
missing_label(누락 후보),kr20190065183a,,,EH01 EH02,EH11,0.903,0.849,0.39,1
missing_label(누락 후보),kr20107014870b1,,,NB04,ED10,0.977,0.516,0.38,0
missing_label(누락 후보),kr20077028881a,,,EA01,LC14,0.952,0.694,0.36,0
missing_label(누락 후보),kr20190155342b1,,,EA03,EA09,0.928,0.897,0.36,1
missing_label(누락 후보),kr20210143303b1,,,ND04,EE13,0.958,0.563,0.35,0
missing_label(누락 후보),kr20080009877b1,,,EA07,EH02,0.966,0.929,0.34,0
missing_label(누락 후보),kr20150124990b1,,,EF04,EI07,0.967,0.828,0.3,0
missing_label(누락 후보),kr20090044372b1,,,EE06,EE03,0.997,0.787,0.29,1
missing_label(누락 후보),kr20100085646b1,,,EE06,EE03,0.993,0.654,0.29,1
missing_label(누락 후보),kr20120132689b1,,,LB11,LB01,0.978,0.906,0.29,1
missing_label(누락 후보),kr20070038142a,,,EH04,LB08,0.911,0.621,0.28,0
missing_label(누락 후보),kr20147008557b1,,,ND01,EB01,0.989,0.909,0.28,0
missing_label(누락 후보),kr20150173576b1,,,EA01,OA02,0.96,0.804,0.26,0
missing_label(누락 후보),kr20050121974b1,,,EB08,ED01,0.902,0.739,0.26,0
missing_label(누락 후보),kr20180038652b1,,,NB09,LA05,0.964,0.902,0.26,0
missing_label(누락 후보),kr20010023254b1,,,EF02,LB02,0.979,0.927,0.25,0
missing_label(누락 후보),kr20090131166b1,,,ED05,EB03,0.977,0.822,0.24,0
missing_label(누락 후보),kr20210025842b1,,,EA02 EH15,EE01,0.987,0.578,0.24,0
missing_label(누락 후보),kr20047012112b1,,,LC12,NC02,0.907,0.8,0.24,0
missing_label(누락 후보),kr20190054984b1,,,LB14,EA11,0.966,0.78,0.23,0
missing_label(누락 후보),kr20170163562a,,,EB05,EB06,0.989,0.951,0.22,1
missing_label(누락 후보),kr20167000266b1,,,EE05,EE06,0.991,0.685,0.21,1
missing_label(누락 후보),kr20167032719b1,,,EE05,EE06,0.951,0.633,0.21,1
missing_label(누락 후보),kr20190109605a,,,EH02,OB01,0.984,0.642,0.2,0
missing_label(누락 후보),kr20137031267a,,,NC01,NB03,0.985,0.621,0.19,0
missing_label(누락 후보),kr20180027593b1,,,LC13,EH10,0.977,0.532,0.15,0
missing_label(누락 후보),kr20010074490b1,,,EA04,EA03,0.962,0.943,0.13,1
missing_label(누락 후보),kr20000021393b1,,,LB12,LB01,0.967,0.729,0.13,1
missing_label(누락 후보),kr20147000922b1,,,LA11,LA06,0.994,0.656,0.13,1
missing_label(누락 후보),kr20190071132a,,,EA02,EB02,0.934,0.748,0.12,0
missing_label(누락 후보),kr20110145425b1,,,EE12,NB02,0.983,0.901,0.12,0
missing_label(누락 후보),kr20150157101a,,,EH08,EF01,0.995,0.939,0.12,0
missing_label(누락 후보),kr20180018704a,,,EI10,LC13,0.945,0.569,0.12,0
missing_label(누락 후보),kr20120039157b1,,,LA07 NC10,LB07,0.963,0.74,0.12,0
missing_label(누락 후보),kr20130095139b1,,,LC05,EI08,0.994,0.932,0.12,0
missing_label(누락 후보),kr20107013606a,,,NB09,EA01,0.947,0.568,0.12,0
missing_label(누락 후보),kr20117011998a,,,EA01,LB07,0.994,0.809,0.11,0
missing_label(누락 후보),kr20120078051b1,,,EA05,EC04,0.959,0.803,0.11,0
missing_label(누락 후보),kr20140019572b1,,,EH02,LB16,0.958,0.735,0.11,0
missing_label(누락 후보),kr20180167009a,,,EI04,EE10,0.975,0.642,0.11,0
missing_label(누락 후보),kr20140173765b1,,,EI07,EA05,0.99,0.658,0.1,0
missing_label(누락 후보),kr20080104993b1,,,EH06,EH02,0.975,0.855,0.09,1
missing_label(누락 후보),kr20187026381b1,,,EA08,LC06,0.992,0.851,0.0,0
missing_label(누락 후보),kr20207016831b1,,,EA08,LC06,0.992,0.845,0.0,0
missing_label(누락 후보),kr20190124246b1,,,EB03,EA02,0.997,0.939,0.0,0
missing_label(누락 후보),kr20120066812b1,,,ED01,EA12,0.988,0.875,0.0,0
missing_label(누락 후보),kr20097002237b1,,,EE01,NB04,0.996,0.883,0.0,0
missing_label(누락 후보),kr20190057671b1,,,EE01,EI10,0.902,0.639,0.0,0
missing_label(누락 후보),kr20200006270a,,,EE02,EF05,0.991,0.519,0.0,0
missing_label(누락 후보),kr20180047286b1,,,EE06,LC13,0.966,0.722,0.0,0
missing_label(누락 후보),kr20127006131b1,,,EE11,NB02,0.979,0.571,0.0,0
missing_label(누락 후보),kr20110114859b1,,,EF01,ED01,0.984,0.527,0.0,0
missing_label(누락 후보),kr20200167376a,,,EH03,LB03,0.988,0.572,0.0,0
missing_label(누락 후보),kr20200112748b1,,,EI03,EH05,0.982,0.924,0.0,0
missing_label(누락 후보),kr20100078939b1,,,LB01,EB03,0.939,0.898,0.0,0
missing_label(누락 후보),kr20200021212a,,,LB15,LC11,0.991,0.878,0.0,0
missing_label(누락 후보),kr20080113839b1,,,NB02,ED08,0.998,0.964,0.0,0
missing_label(누락 후보),kr20120153240b1,,,NB03,ND02,0.983,0.715,0.0,0
missing_label(누락 후보),kr20190176495a,,,NC01,EB08,0.918,0.742,0.0,0
missing_label(누락 후보),kr20130047330b1,,,ND01,EH05,0.983,0.512,0.0,0
missing_label(누락 후보),kr20080061111b1,,,EB08,ED08,0.997,0.614,0.0,0
missing_label(누락 후보),kr20120156649a,,,LB13,EI12,0.97,0.757,0.0,0
spurious_label(오부착 후보),kr20100100937b1,,,EA02 EF07,EA02,0.002,0.027,0.0,
spurious_label(오부착 후보),kr20180043394b1,,,EA04 EH01 EH08 EH09 EH10 ND04,EA04,0.034,0.496,0.0,
spurious_label(오부착 후보),kr20210094112b1,,,EA07 LB08 LB15,LB15,0.019,0.131,0.0,
spurious_label(오부착 후보),kr20060025845b1,,,EA08 ED07,ED07,0.023,0.364,0.0,
spurious_label(오부착 후보),kr20110086370b1,,,EA09 OB02,EA09,0.03,0.048,0.0,
spurious_label(오부착 후보),kr20110123665b1,,,EB08 ED08,EB08,0.005,0.449,0.0,
spurious_label(오부착 후보),kr20130119247b1,,,ED03 EI11,ED03,0.03,0.437,0.0,
spurious_label(오부착 후보),kr20037014334b1,,,EB07 ED05,ED05,0.014,0.027,0.0,
spurious_label(오부착 후보),kr20197031141a,,,EE02 LA06,LA06,0.06,0.206,0.0,
spurious_label(오부착 후보),kr20120059386b1,,,EA13 EE05 NB01,NB01,0.002,0.044,0.0,
spurious_label(오부착 후보),kr20217006852b1,,,EF01 NC02,EF01,0.029,0.107,0.0,
spurious_label(오부착 후보),kr20180033036b1,,,EF05 LB20,EF05,0.002,0.022,0.0,
spurious_label(오부착 후보),kr20100096141b1,,,EH10 ND11,EH10,0.0,0.01,0.0,
spurious_label(오부착 후보),kr20210089317b1,,,EI04 NC07,EI04,0.01,0.07,0.0,
spurious_label(오부착 후보),kr20120024464b1,,,EE13 EI10,EE13,0.003,0.067,0.0,
spurious_label(오부착 후보),kr20160172700b1,,,LA04 LC07,LA04,0.001,0.025,0.0,
spurious_label(오부착 후보),kr20127031984a,,,NB06 ND14,ND14,0.033,0.208,0.0,
spurious_label(오부착 후보),kr20177006519b1,,,EA06 ED10,ED10,0.001,0.087,0.07,
spurious_label(오부착 후보),kr20120023723b1,,,EA07 LB12,EA07,0.002,0.12,0.09,
spurious_label(오부착 후보),kr20210011754b1,,,LC03 LC15,LC03,0.008,0.063,0.11,
spurious_label(오부착 후보),kr20210031244a,,,EH02 EI03,EI03,0.027,0.426,0.12,
spurious_label(오부착 후보),kr20040027499a,,,LA06 NB01,LA06,0.004,0.184,0.12,
spurious_label(오부착 후보),kr20160005338b1,,,LC02 NC09,NC09,0.098,0.163,0.12,
spurious_label(오부착 후보),kr20130035408b1,,,EC06 ND01,EC06,0.007,0.202,0.13,
spurious_label(오부착 후보),kr20200103584a,,,EH07 EI12,EI12,0.008,0.083,0.13,
spurious_label(오부착 후보),kr20180012283a,,,EH11 NC10,NC10,0.008,0.085,0.13,
spurious_label(오부착 후보),kr20077016594b1,,,ED10 NC07,ED10,0.056,0.397,0.19,
spurious_label(오부착 후보),kr20050079423b1,,,EA05 ED03 EF04,EA05,0.008,0.008,0.2,
spurious_label(오부착 후보),kr20140147951b1,,,NB01 NB07,NB07,0.015,0.123,0.21,
spurious_label(오부착 후보),kr20180002787b1,,,LA03 LC15 NC09,NC09,0.041,0.067,0.23,
spurious_label(오부착 후보),kr20117002555b1,,,EA01 LC04,EA01,0.093,0.239,0.25,
spurious_label(오부착 후보),kr20140156187b1,,,EC10 LA02 LC08,EC10,0.064,0.116,0.27,
spurious_label(오부착 후보),kr20040051324a,,,LB17 LC07,LB17,0.015,0.419,0.27,
spurious_label(오부착 후보),kr20177013949b1,,,EG09 LC14,EG09,0.026,0.178,0.28,
spurious_label(오부착 후보),kr20190105808b1,,,LB06 LC07,LB06,0.075,0.447,0.28,
spurious_label(오부착 후보),kr20190013369b1,,,EA01 EI01,EA01,0.006,0.298,0.29,
spurious_label(오부착 후보),kr20140099583b1,,,EI02 LB20 NB02 OB01,EI02,0.006,0.044,0.3,
spurious_label(오부착 후보),kr20140099583b1,,,EI02 LB20 NB02 OB01,LB20,0.015,0.02,0.3,
spurious_label(오부착 후보),kr20200087216b1,,,EI10 LB19,LB19,0.072,0.213,0.3,
spurious_label(오부착 후보),kr20190080730a,,,EC01 EH02,EH02,0.026,0.121,0.31,
spurious_label(오부착 후보),kr20210082595b1,,,ND04 ND05 ND12,ND12,0.0,0.017,0.31,
spurious_label(오부착 후보),kr20087001826b1,,,EA10 EB08 EF06 ND09 ND10,EB08,0.048,0.082,0.32,
spurious_label(오부착 후보),kr20197014004b1,,,ED02 ED05,ED05,0.033,0.145,0.33,
spurious_label(오부착 후보),kr20190065183a,,,EH01 EH02,EH01,0.009,0.092,0.33,
spurious_label(오부착 후보),kr20140090629b1,,,EF03 LB05,LB05,0.014,0.306,0.34,
spurious_label(오부착 후보),kr20107026029b1,,,LC12 LC14,LC14,0.007,0.079,0.34,
spurious_label(오부착 후보),kr20100038245b1,,,EF02 LC11,LC11,0.015,0.474,0.35,
spurious_label(오부착 후보),kr20080000662b1,,,EE04 EE11,EE11,0.007,0.142,0.36,
spurious_label(오부착 후보),kr20190004933a,,,EH07 EH11,EH11,0.089,0.289,0.36,
spurious_label(오부착 후보),kr20090051264b1,,,LC14 OB02,LC14,0.003,0.203,0.36,
spurious_label(오부착 후보),kr20150067538b1,,,EE13 EI04,EI04,0.0,0.009,0.37,
spurious_label(오부착 후보),kr20150114218a,,,EH08 EI12,EH08,0.005,0.04,0.38,
spurious_label(오부착 후보),kr20020041387a,,,LB05 LB06,LB06,0.002,0.026,0.38,
spurious_label(오부착 후보),kr20000061092a,,,LC07 LC12,LC12,0.008,0.337,0.38,
spurious_label(오부착 후보),kr20140115173b1,,,EA01 EB07 EI07,EI07,0.001,0.007,0.46,
spurious_label(오부착 후보),kr20090072365b1,,,EB08 ED04,EB08,0.002,0.056,0.49,
spurious_label(오부착 후보),kr20110050947a,,,EH04 LB09,LB09,0.035,0.175,0.5,
spurious_label(오부착 후보),kr20210027449b1,,,LA09 LB15 LB18 LC11,LB15,0.02,0.128,0.53,
spurious_label(오부착 후보),kr20120069948b1,,,LA10 OA04,LA10,0.037,0.351,0.56,
spurious_label(오부착 후보),kr20190059896b1,,,LC01 NC04,NC04,0.006,0.044,0.61,
spurious_label(오부착 후보),kr20130003511a,,,LA05 LA11,LA11,0.003,0.01,0.64,
spurious_label(오부착 후보),kr20150132145b1,,,LA05 LA11,LA11,0.003,0.01,0.64,
spurious_label(오부착 후보),kr20080055580b1,,,LB15 LB20,LB20,0.011,0.459,0.64,
spurious_label(오부착 후보),kr20200188497a,,,LB15 LB20,LB15,0.019,0.281,0.64,
spurious_label(오부착 후보),kr20190106925b1,,,EF01 NC08,EF01,0.006,0.169,0.66,
spurious_label(오부착 후보),kr20150123943b1,,,EH06 EH08 LB14 ND08 ND10,EH08,0.046,0.111,0.68,
spurious_label(오부착 후보),kr20070123231b1,,,LA06 LA08,LA08,0.0,0.096,0.7,
spurious_label(오부착 후보),kr20060046413b1,,,LB09 LB16 LB17,LB09,0.005,0.027,0.7,
spurious_label(오부착 후보),kr20160016160b1,,,LB09 LB16,LB09,0.05,0.244,0.7,
spurious_label(오부착 후보),kr20190158470b1,,,EI09 ND04 ND06,EI09,0.004,0.033,0.71,
spurious_label(오부착 후보),kr20047016649b1,,,LA01 LA03 LC01,LC01,0.006,0.041,0.71,
spurious_label(오부착 후보),kr20057002524b1,,,LA03 LC01,LA03,0.004,0.367,0.71,
spurious_label(오부착 후보),kr20100047624b1,,,EA01 EF02,EA01,0.006,0.119,0.74,
spurious_label(오부착 후보),kr20130112024b1,,,EG04 EG08 EG09 EI01 NB02,EI01,0.008,0.154,0.83,
spurious_label(오부착 후보),kr20170109108b1,,,EH07 EH10 ND03,EH10,0.02,0.215,0.84,
spurious_label(오부착 후보),kr20150081607b1,,,LA09 LB18 LB19,LB19,0.009,0.184,0.89,
spurious_label(오부착 후보),kr20140099583b1,,,EI02 LB20 NB02 OB01,NB02,0.003,0.041,0.95,
spurious_label(오부착 후보),kr20020018369b1,,,LA02 LB05,LA02,0.004,0.484,0.99,
spurious_label(오부착 후보),kr20090106652b1,,,EB01 EB08,EB01,0.047,0.123,1.0,
spurious_label(오부착 후보),kr20180054431b1,,,EB03 EB08,EB08,0.016,0.091,1.02,
spurious_label(오부착 후보),kr20070132386a,,,LA08 LB06,LA08,0.064,0.158,1.05,
spurious_label(오부착 후보),kr20090120407a,,,LB13 ND09,ND09,0.021,0.169,1.07,
spurious_label(오부착 후보),kr20180002787b1,,,LA03 LC15 NC09,LA03,0.005,0.155,1.09,
spurious_label(오부착 후보),kr20190168656b1,,,EH05 NB05 ND02,EH05,0.059,0.423,1.16,
spurious_label(오부착 후보),kr20200110118b1,,,EH05 ND02,EH05,0.024,0.344,1.16,
spurious_label(오부착 후보),kr20107001642a,,,LA01 OA03,LA01,0.014,0.108,1.18,
spurious_label(오부착 후보),kr20210110794b1,,,ND02 ND09 ND13,ND13,0.01,0.139,1.27,
spurious_label(오부착 후보),kr20190059232b1,,,EB02 EB05,EB05,0.005,0.101,1.28,
spurious_label(오부착 후보),kr20077003599b1,,,ED10 NB05,ED10,0.079,0.408,1.28,
spurious_label(오부착 후보),kr20170099122b1,,,EC05 LB04 LB05,EC05,0.005,0.216,1.37,
spurious_label(오부착 후보),kr20060043623b1,,,EA02 EA08,EA02,0.053,0.062,1.41,
spurious_label(오부착 후보),kr20190174237b1,,,EB05 EC01 EF06 NC03,EB05,0.02,0.056,1.42,
spurious_label(오부착 후보),kr20050100712a,,,EI09 LB14,LB14,0.016,0.215,1.45,
spurious_label(오부착 후보),kr20190166892b1,,,LB20 LC11,LC11,0.056,0.411,1.47,
spurious_label(오부착 후보),kr20200119078a,,,EH08 LB07 LB16,EH08,0.038,0.075,1.5,
spurious_label(오부착 후보),kr20130095808b1,,,ED11 EE05,EE05,0.019,0.05,1.57,
spurious_label(오부착 후보),kr20190178247b1,,,EA14 EH15 ND07,EH15,0.006,0.033,1.71,
spurious_label(오부착 후보),kr20140179048a,,,LB20 ND05,ND05,0.05,0.369,1.72,
spurious_label(오부착 후보),kr20210176529b1,,,LB01 LB05,LB01,0.021,0.41,1.74,
spurious_label(오부착 후보),kr20180080042b1,,,EE03 LC06,EE03,0.049,0.258,1.79,
spurious_label(오부착 후보),kr20087001826b1,,,EA10 EB08 EF06 ND09 ND10,EF06,0.016,0.215,1.97,
spurious_label(오부착 후보),kr20020009750b1,,,EA13 ED08 EE05 EE11,ED08,0.05,0.172,1.99,
spurious_label(오부착 후보),kr20050035461b1,,,EC04 LC08 LC15 NC10,EC04,0.051,0.074,1.99,
spurious_label(오부착 후보),kr20217039500a,,,EA06 NC09,NC09,0.005,0.04,2.04,
spurious_label(오부착 후보),jp2016124951a,,,EC10 EG01 EG02 EG03 EG04 EG05,EC10,0.079,0.12,2.05,
spurious_label(오부착 후보),kr20210194089b1,,,EA13 ND02,EA13,0.0,0.196,2.09,
spurious_label(오부착 후보),kr20130131000b1,,,EA15 ED11,ED11,0.036,0.162,2.18,
spurious_label(오부착 후보),kr20070125951b1,,,EF02 EH04 EH06 EI04 ND09,EI04,0.057,0.111,2.21,
spurious_label(오부착 후보),kr20090132434b1,,,EB08 EC02,EB08,0.036,0.284,2.24,
spurious_label(오부착 후보),kr20140021181a,,,EG04 EG07,EG04,0.011,0.22,2.24,
spurious_label(오부착 후보),kr20170171525a,,,EH06 LB13,EH06,0.001,0.03,2.24,
spurious_label(오부착 후보),kr20080007073b1,,,ND01 ND02,ND01,0.048,0.3,2.44,
spurious_label(오부착 후보),kr20060087785b1,,,EH09 EH10 EH13 EH14 ND03,ND03,0.059,0.209,2.47,
spurious_label(오부착 후보),kr20080057832b1,,,EH14 NC08 ND03,ND03,0.016,0.111,2.47,
spurious_label(오부착 후보),kr20210017487a,,,EC10 ND03,ND03,0.046,0.151,2.51,
spurious_label(오부착 후보),kr20180130083b1,,,EI03 EI11,EI03,0.021,0.156,2.51,
spurious_label(오부착 후보),kr20130107919b1,,,EA06 EC02,EA06,0.019,0.158,2.56,
spurious_label(오부착 후보),kr20147023308b1,,,LB19 LC11,LC11,0.014,0.192,2.56,
spurious_label(오부착 후보),kr20110014949b1,,,EC04 LB06,EC04,0.001,0.026,2.57,
spurious_label(오부착 후보),kr20050109339b1,,,EI08 EI11,EI08,0.064,0.269,2.62,
spurious_label(오부착 후보),kr20070026092b1,,,NB05 NB09,NB09,0.006,0.058,2.67,
spurious_label(오부착 후보),kr20040083009b1,,,ED11 EI07,ED11,0.048,0.089,2.74,
spurious_label(오부착 후보),kr20190132468b1,,,ED11 EI07,ED11,0.033,0.418,2.74,
spurious_label(오부착 후보),kr20190174237b1,,,EB05 EC01 EF06 NC03,NC03,0.016,0.065,2.77,
spurious_label(오부착 후보),kr20200106207b1,,,EC05 LC13,EC05,0.003,0.067,2.84,
spurious_label(오부착 후보),kr20050088303b1,,,EE06 EE11,EE06,0.006,0.113,2.85,
spurious_label(오부착 후보),kr20200159955a,,,EI03 EI06,EI03,0.003,0.035,2.9,
spurious_label(오부착 후보),kr20070016518a,,,EG05 EG10 NB03 NB04,NB04,0.051,0.098,2.92,
spurious_label(오부착 후보),kr20160172394b1,,,EA10 EH06 EI04,EI04,0.035,0.252,2.95,
spurious_label(오부착 후보),kr20210044222b1,,,EA10 EI04,EI04,0.009,0.274,2.95,
spurious_label(오부착 후보),kr20150000073b1,,,EF06 EI12 ND05,EF06,0.059,0.379,3.0,
spurious_label(오부착 후보),kr20070019886b1,,,LA06 LA07 LA10,LA06,0.002,0.058,3.05,
spurious_label(오부착 후보),kr20130120382b1,,,LA06 LA07 LB07 LB16,LA07,0.072,0.391,3.05,
spurious_label(오부착 후보),kr20180173898a,,,NC01 NC08,NC01,0.002,0.085,3.12,
spurious_label(오부착 후보),kr20047004009b1,,,NC01 NC05,NC01,0.015,0.325,3.13,
spurious_label(오부착 후보),kr20190093238b1,,,EB08 EC07,EB08,0.021,0.158,3.19,
spurious_label(오부착 후보),kr20130011080b1,,,ED07 EH13,ED07,0.043,0.299,3.22,
spurious_label(오부착 후보),kr20150013502b1,,,EH03 EI09 ND01,ND01,0.024,0.385,3.22,
spurious_label(오부착 후보),kr20090009752b1,,,EH11 EH12 LB16,EH11,0.005,0.111,3.31,
spurious_label(오부착 후보),kr20170175916b1,,,EA14 ED07 EE13,ED07,0.004,0.243,3.36,
spurious_label(오부착 후보),kr20170181904b1,,,EC11 ED11,ED11,0.013,0.123,3.4,
spurious_label(오부착 후보),kr20210103043b1,,,EA02 EH15,EH15,0.035,0.083,3.53,
spurious_label(오부착 후보),kr20210025842b1,,,EA02 EH15,EH15,0.002,0.048,3.53,
spurious_label(오부착 후보),kr20067007785b1,,,ED07 LA07 LA10,ED07,0.01,0.12,3.77,
spurious_label(오부착 후보),kr20100075240a,,,LA09 LA10,LA10,0.005,0.101,3.79,
spurious_label(오부착 후보),kr20110142388b1,,,EC04 LA06,EC04,0.075,0.166,3.95,
spurious_label(오부착 후보),kr20000086766b1,,,LC04 LC06,LC06,0.046,0.144,4.06,
spurious_label(오부착 후보),kr20090102586b1,,,LC04 LC06,LC04,0.01,0.399,4.06,
spurious_label(오부착 후보),kr20150090164b1,,,EF02 EG05 EG06,EF02,0.009,0.13,4.22,
spurious_label(오부착 후보),kr20190076869b1,,,ED02 NB06,NB06,0.069,0.252,4.27,
spurious_label(오부착 후보),kr20190065998b1,,,ED02 NB06,NB06,0.021,0.317,4.27,
spurious_label(오부착 후보),kr20070047486b1,,,EH03 EH08 ND01,EH08,0.011,0.282,4.48,
spurious_label(오부착 후보),kr20160151288b1,,,EA14 EE13 EI11,EI11,0.017,0.173,4.53,
spurious_label(오부착 후보),kr20060058159b1,,,LB10 LB11,LB10,0.016,0.102,4.54,
spurious_label(오부착 후보),kr20070009203a,,,EA10 EH06 EI09 LB14 ND08,EI09,0.046,0.448,4.88,
spurious_label(오부착 후보),kr20090012299b1,,,LC05 OB01,OB01,0.05,0.057,4.95,
spurious_label(오부착 후보),kr20160146571b1,,,ND11 ND13,ND13,0.055,0.374,4.96,
spurious_label(오부착 후보),kr20060041231b1,,,EH02 ND03,EH02,0.076,0.229,5.12,
spurious_label(오부착 후보),kr20207024748a,,,NB06 NC01,NC01,0.015,0.127,5.43,
spurious_label(오부착 후보),kr20080030442a,,,EI10 LB20,EI10,0.028,0.202,5.58,
spurious_label(오부착 후보),kr20030095157b1,,,LA08 LA09 ND03,LA08,0.021,0.04,5.59,
spurious_label(오부착 후보),kr20030095157b1,,,LA08 LA09 ND03,LA09,0.019,0.062,5.59,
spurious_label(오부착 후보),jp2019079863b1,,,ND02 ND07 ND14,ND14,0.07,0.343,5.79,
spurious_label(오부착 후보),kr20180147937b1,,,EA07 EF06,EA07,0.039,0.192,5.8,
spurious_label(오부착 후보),kr20160181471b1,,,EA07 EF06,EA07,0.005,0.128,5.8,
spurious_label(오부착 후보),kr20160044212b1,,,EA09 EI06,EA09,0.09,0.297,6.29,
spurious_label(오부착 후보),kr20120126694b1,,,EI02 LB11,EI02,0.031,0.122,6.62,
spurious_label(오부착 후보),kr20090010330b1,,,EH04 LB14,LB14,0.055,0.211,6.71,
spurious_label(오부착 후보),kr20140034419b1,,,ND01 ND03,ND03,0.078,0.39,6.78,
spurious_label(오부착 후보),kr20070020237b1,,,EH04 EI09,EH04,0.014,0.066,7.13,
spurious_label(오부착 후보),kr20030056601b1,,,EA13 EE05 ND14,ND14,0.0,0.028,7.21,
spurious_label(오부착 후보),kr20120141524a,,,EI01 EI12,EI12,0.083,0.123,7.29,
spurious_label(오부착 후보),kr20180053049b1,,,EB03 NC09,EB03,0.028,0.283,7.47,
spurious_label(오부착 후보),kr20140112961a,,,LB13 LB15,LB13,0.083,0.436,7.93,
spurious_label(오부착 후보),kr20180154441b1,,,LB13 LB15,LB15,0.02,0.118,7.93,
spurious_label(오부착 후보),kr20120115143b1,,,NB03 NB09,NB03,0.023,0.435,8.36,
spurious_label(오부착 후보),kr20140186828b1,,,NB03 NB09,NB09,0.037,0.204,8.36,
spurious_label(오부착 후보),kr19970061584b1,,,EA14 EE13 EH10,EH10,0.038,0.471,8.58,
spurious_label(오부착 후보),jp2013049697b2,,,EC10 NB03,NB03,0.026,0.166,8.6,
spurious_label(오부착 후보),kr20150007998b1,,,EI03 EI04,EI04,0.088,0.249,8.93,
spurious_label(오부착 후보),kr20150189289b1,,,EI03 EI04,EI04,0.003,0.34,8.93,
